policy,K,captured,total_misses,source_unobservable_misses,observable_not_captured,conditional_capture,full_denominator_coverage,source_stage_share_of_misses,post_source_share_of_misses
Top-100,100,14,735,274,461,0.029473684210526315,0.018691588785046728,0.3727891156462585,0.6272108843537415
Top-500,500,29,720,274,446,0.061052631578947365,0.03871829105473965,0.38055555555555554,0.6194444444444445
Top-1000,1000,41,708,274,434,0.0863157894736842,0.05473965287049399,0.3870056497175141,0.6129943502824858
